G,Price
0,0
1000,6.9
2000,10.02
3000,10.02
4000,10.02
5000,10.02
6000,22.9
7000,22.9
8000,22.9
9000,22.9
10000,22.9
11000,34.4
12000,34.4
13000,34.4
14000,34.4
15000,34.4
16000,34.4
17000,34.4
18000,34.4
19000,34.4
20000,34.4
