G,Price
0,0
1000,6.2
2000,6.2
3000,9.99
4000,9.99
5000,9.99
6000,21.25
7000,21.25
8000,21.25
9000,21.25
10000,21.25
11000,29.55
12000,29.55
13000,29.55
14000,29.55
15000,29.55
16000,29.55
17000,29.55
18000,29.55
19000,29.55
20000,29.55
